Date,open,high,low,close,volume,dividends,stock splits
2008-06-04 00:00:00-04:00,21.571523559979973,22.23892980937725,21.303370576485054,21.869474411010742,1329210,0.0,0.0
2008-06-05 00:00:00-04:00,22.04824089791125,22.13166617151015,21.756250452863362,21.833717346191406,783992,0.0,0.0
2008-06-06 00:00:00-04:00,21.809876973147727,21.809876973147727,21.410625798633127,21.571517944335938,1337866,0.0,0.0
2008-06-09 00:00:00-04:00,21.482143478099406,21.672829590127268,21.094808897109157,21.184194564819336,731796,0.0,0.0
2008-06-10 00:00:00-04:00,21.213984495846866,21.41658932150396,21.011379670189772,21.327205657958984,927815,0.0,0.0
2008-06-11 00:00:00-04:00,21.154393730145017,21.333163036285338,20.957747294645483,21.06501007080078,1005454,0.0,0.0
2008-06-12 00:00:00-04:00,21.154397809344268,21.404675681182496,20.89220317393655,20.9219970703125,1146742,0.0,0.0
2008-06-13 00:00:00-04:00,20.92796180435324,21.380844625849768,20.8862471608032,21.172279357910156,1157234,0.0,0.0
2008-06-16 00:00:00-04:00,21.32720501001081,21.958856966358823,21.202065102417038,21.899267196655273,957804,0.0,0.0
2008-06-17 00:00:00-04:00,21.75624383130047,21.869464946698006,21.34507398126558,21.64898109436035,577043,0.0,0.0
2008-06-18 00:00:00-04:00,21.36296039421831,21.36296039421831,20.86836309343809,21.047134399414062,1221320,0.0,0.0
2008-06-19 00:00:00-04:00,20.85644959696062,20.874326730357346,20.236714272413526,20.498910903930664,1056426,0.0,0.0
2008-06-20 00:00:00-04:00,20.338010872878684,20.343971240603747,19.843415623898775,20.046022415161133,2274162,0.0,0.0
2008-06-23 00:00:00-04:00,20.040068740364614,20.29034663230424,19.89109527161541,19.93280792236328,880865,0.0,0.0
2008-06-24 00:00:00-04:00,19.81363394630836,20.022197258930795,19.551437228364513,19.62294578552246,1471810,0.0,0.0
2008-06-25 00:00:00-04:00,19.664645368947205,20.43931426474386,19.56930135196826,20.379724502563477,896253,0.0,0.0
2008-06-26 00:00:00-04:00,19.5156697932687,19.616974176765613,19.253475239536638,19.479917526245117,2442903,0.0,0.0
2008-06-27 00:00:00-04:00,19.45608083531011,19.60505623929335,19.074706742541522,19.50971221923828,962001,0.0,0.0
2008-06-30 00:00:00-04:00,19.509712740094816,19.682523656842484,19.3071079342261,19.605056762695312,762921,0.0,0.0
2008-07-02 00:00:00-04:00,19.247525163675935,19.366704738377152,18.83039665222168,18.83039665222168,1015771,0.0,0.0
2008-07-03 00:00:00-04:00,18.83038925884739,19.366697134432343,18.806551763304487,19.36073875427246,876493,0.0,0.0
2008-07-04 00:00:00-04:00,19.217728731777616,19.217728731777616,18.59799535838072,18.65758514404297,785303,0.0,0.0
2008-07-07 00:00:00-04:00,18.681413883127604,19.158131995470395,18.305998170912485,18.466890335083008,897302,0.0,0.0
2008-07-08 00:00:00-04:00,18.478808882357797,18.741003443810907,18.216612333453014,18.532438278198242,1019093,0.0,0.0
2008-07-09 00:00:00-04:00,18.770806419816502,19.223689190433795,18.353675930799916,18.508609771728516,1033432,0.0,0.0
2008-07-10 00:00:00-04:00,18.502647551158294,19.032997132223514,18.300042718489067,18.35963249206543,705741,0.0,0.0
2008-07-11 00:00:00-04:00,18.347705096102622,18.586064078082554,18.002085367212143,18.025920867919922,632299,0.0,0.0
2008-07-14 00:00:00-04:00,18.204703370373114,18.401349872550146,16.82221748502527,17.10824966430664,1239856,0.0,0.0
2008-07-15 00:00:00-04:00,16.7507042029997,17.33468310487141,16.393164619364207,16.989063262939453,1426695,0.0,0.0
2008-07-16 00:00:00-04:00,16.989070601692738,17.57305174327797,16.88776815620399,17.28106117248535,2905412,0.0,0.0
2008-07-17 00:00:00-04:00,17.876957216342394,18.62183051650051,17.876957216342394,18.341758728027344,2643382,0.0,0.0
2008-07-18 00:00:00-04:00,19.074709199057118,19.31902865455984,18.70525181905794,18.860185623168945,1821183,0.0,0.0
2008-07-21 00:00:00-04:00,19.068751456253743,19.12238086143154,18.365590933280693,18.43709945678711,787664,0.0,0.0
2008-07-22 00:00:00-04:00,18.40729979718717,19.03299328705843,18.085515482374113,18.735044479370117,1010962,0.0,0.0
2008-07-23 00:00:00-04:00,18.77080238361161,19.658690599400845,18.77080238361161,19.402454376220703,1240643,0.0,0.0
2008-07-24 00:00:00-04:00,19.402455997941136,19.658692242538336,18.842310493791345,18.866147994995117,824647,0.0,0.0
2008-07-25 00:00:00-04:00,19.15814362480884,19.479930135931788,18.961497085354274,19.06875991821289,691490,0.0,0.0
2008-07-28 00:00:00-04:00,18.94957546602298,19.473964778671053,18.919779579817867,19.176015853881836,873433,0.0,0.0
2008-07-29 00:00:00-04:00,19.360739310750546,19.485877222414985,19.217722283189197,19.30710792541504,558158,0.0,0.0
2008-07-30 00:00:00-04:00,19.515679078395173,19.664654547103826,19.319034560125743,19.468008041381836,1170348,0.0,0.0
2008-07-31 00:00:00-04:00,19.515662011191225,19.72422708749457,19.22367368679769,19.694433212280273,909280,0.0,0.0
2008-08-01 00:00:00-04:00,19.611021440713692,19.66465284329632,19.193892946904377,19.55143165588379,693938,0.0,0.0
2008-08-05 00:00:00-04:00,20.290343174039958,21.48214065816686,20.290343174039958,21.29741096496582,1669928,0.0,0.0
2008-08-06 00:00:00-04:00,21.154394486118033,21.2437801361084,20.80877262275784,21.2437801361084,894592,0.0,0.0
2008-08-07 00:00:00-04:00,20.755150208431246,21.29741670944641,20.618093490600586,20.618093490600586,1000995,0.0,0.0
2008-08-08 00:00:00-04:00,20.826657495219834,22.42962551049758,20.826657495219834,22.238937377929688,975553,0.0,0.0
2008-08-11 00:00:00-04:00,21.750292494550532,22.590509666241473,21.750292494550532,21.92906379699707,856384,0.0,0.0
2008-08-12 00:00:00-04:00,21.03521558058285,22.25084853250371,20.790898108973686,22.167423248291016,1208993,0.0,0.0
2008-08-13 00:00:00-04:00,21.75028276018967,22.227002707604036,20.99945157575725,21.91713523864746,1601732,0.0,0.0
2008-08-14 00:00:00-04:00,21.601316064938423,22.13166555547912,21.22590035674126,22.107830047607422,682572,0.0,0.0
2008-08-15 00:00:00-04:00,21.75028961228802,22.107830182349282,21.613232956875848,21.887346267700195,490224,0.0,0.0
2008-08-18 00:00:00-04:00,21.792002256829054,22.030361290258128,21.643026867210132,21.809877395629883,2146251,0.0,0.0
2008-08-19 00:00:00-04:00,21.750293505413257,21.750293505413257,20.457193611481088,20.767061233520508,1839369,0.0,0.0
2008-08-20 00:00:00-04:00,20.55849781871581,20.749183902597895,20.111573521036767,20.61212921142578,487077,0.0,0.0
2008-08-21 00:00:00-04:00,20.290347251334847,20.74918841101245,20.290347251334847,20.409526824951172,376739,0.0,0.0
2008-08-22 00:00:00-04:00,20.266508885572172,20.89816093444824,20.16520646098196,20.898160934448242,404105,0.0,0.0
2008-08-25 00:00:00-04:00,20.892198204815234,20.892198204815234,20.194996153546505,20.2069149017334,454028,0.0,0.0
2008-08-26 00:00:00-04:00,20.20095896240318,20.713431409685715,20.20095896240318,20.451234817504883,605983,0.0,0.0
2008-08-27 00:00:00-04:00,20.564458554524485,20.796859295425868,20.504868773840972,20.778982162475586,308631,0.0,0.0
2008-08-28 00:00:00-04:00,20.647876328801466,21.321240803990857,20.647876328801466,21.005416870117188,601524,0.0,0.0
2008-08-29 00:00:00-04:00,20.921987786019173,21.380830678682894,20.921987786019173,21.303363800048828,483492,0.0,0.0
2008-09-02 00:00:00-04:00,21.482135242435845,22.00652632124295,21.33315984918275,21.386791229248047,461197,0.0,0.0
2008-09-03 00:00:00-04:00,21.15439584515574,21.505976111951483,20.927955496385962,21.446386337280273,1187397,0.0,0.0
2008-09-04 00:00:00-04:00,21.446396304648793,21.446396304648793,20.498917850793465,20.546588897705078,883575,0.0,0.0
2008-09-05 00:00:00-04:00,20.6776758833643,20.6776758833643,20.230751617740168,20.403562545776367,659490,0.0,0.0
2008-09-08 00:00:00-04:00,20.910081817288443,21.297414422870087,20.71343532966385,20.83261489868164,733981,0.0,0.0
2008-09-09 00:00:00-04:00,21.03521824893601,21.225906340570113,20.612131405722376,20.9219970703125,824122,0.0,0.0
2008-09-10 00:00:00-04:00,21.154391937964864,21.374873864780383,20.737263592309507,21.29144859313965,959465,0.0,0.0
2008-09-11 00:00:00-04:00,21.148441314697262,21.166318449098956,20.74918796299605,21.148441314697266,1342587,0.0,0.0
2008-09-12 00:00:00-04:00,20.618096847842523,21.237830376692774,20.618096847842523,20.82666015625,726725,0.0,0.0
2008-09-15 00:00:00-04:00,19.724243982709602,19.998357409242658,18.6218318939209,18.6218318939209,1659436,0.0,0.0
2008-09-16 00:00:00-04:00,18.031884741658796,19.426286801162373,17.95441785016128,19.354778289794922,2286839,0.0,0.0
2008-09-17 00:00:00-04:00,18.68141471971276,19.23559974887376,17.99613140880601,18.127229690551758,1547350,0.0,0.0
2008-09-18 00:00:00-04:00,18.145113545520367,19.84342352006688,18.145113545520367,19.378623962402344,6700869,0.0,0.0
2008-09-19 00:00:00-04:00,21.154400151552473,21.25570259037044,19.891095876371445,20.713436126708984,5339397,0.0,0.0
2008-09-22 00:00:00-04:00,19.962594588266132,20.439314682914127,19.66464577126843,19.72423553466797,1370128,0.0,0.0
2008-09-23 00:00:00-04:00,19.962594773971176,20.290339469443378,19.31306575063834,19.36073875427246,1365843,0.0,0.0
2008-09-24 00:00:00-04:00,19.217731611507972,19.813631544877016,18.919782638549805,18.919782638549805,955356,0.0,0.0
2008-09-25 00:00:00-04:00,19.170060357052897,19.575272148229164,17.954426970976773,18.228540420532227,9763656,0.0,0.0
2008-09-26 00:00:00-04:00,17.876945510456927,18.609899578790333,17.811397386647766,18.025920867919922,1509492,0.0,0.0
2008-09-29 00:00:00-04:00,18.02592502936989,18.02592502936989,15.42780715359692,16.405080795288086,2186556,0.0,0.0
2008-09-30 00:00:00-04:00,17.757774477168812,17.876954024921808,16.840090369509117,17.239343643188477,2444389,0.0,0.0
2008-10-01 00:00:00-04:00,17.22146451044343,17.424069320582174,16.947351184984285,17.233381271362305,1323702,0.0,0.0
2008-10-02 00:00:00-04:00,17.132079204703885,17.69222461505742,17.04865392681671,17.32276725769043,1084142,0.0,0.0
2008-10-03 00:00:00-04:00,17.614760743746693,18.472855142144375,17.263180455165756,17.364482879638672,1799238,0.0,0.0
2008-10-06 00:00:00-04:00,16.804331647355227,17.579000489583045,16.09521392393489,17.430025100708008,1574016,0.0,0.0
2008-10-07 00:00:00-04:00,17.28701432367944,17.45386687968817,16.268027819430205,16.476593017578125,933498,0.0,0.0
2008-10-08 00:00:00-04:00,16.089259761833592,17.018860686146503,15.797269256531914,16.828174591064453,1055814,0.0,0.0
2008-10-09 00:00:00-04:00,17.281055172288703,17.7279774538296,15.999873129071863,16.7447452545166,1414630,0.0,0.0
2008-10-10 00:00:00-04:00,15.07623195975305,18.157026110494844,15.07623195975305,16.23823356628418,2343669,0.0,0.0
2008-10-14 00:00:00-04:00,18.46689860416626,18.46689860416626,16.714957166863144,17.28106117248535,1451526,0.0,0.0
2008-10-15 00:00:00-04:00,16.565973358602438,17.26317534789812,15.898567243399611,16.160762786865234,1299746,0.0,0.0
2008-10-16 00:00:00-04:00,15.493355990469093,16.71494801926073,15.493355990469093,16.059459686279297,1679807,0.0,0.0
2008-10-17 00:00:00-04:00,16.142890321250167,17.406195402306476,15.940285473741172,17.060575485229492,1314784,0.0,0.0
2008-10-20 00:00:00-04:00,16.989069503967922,17.668392676858996,16.64940692379616,17.614763259887695,1373188,0.0,0.0
2008-10-21 00:00:00-04:00,17.17975586562894,17.722022274681756,16.70303563176923,16.863927841186523,906220,0.0,0.0
2008-10-22 00:00:00-04:00,16.685160002235733,17.10824887526226,16.279949257531783,16.32166290283203,668233,0.0,0.0
2008-10-23 00:00:00-04:00,16.327616696507512,17.51345569171895,15.803226526837138,16.17864227294922,1404750,0.0,0.0
2008-10-24 00:00:00-04:00,15.564869413960164,15.844941166859154,14.90937988010672,15.582745552062988,1060273,0.0,0.0
2008-10-27 00:00:00-04:00,15.5767913852686,16.220361349158896,15.094113663919293,15.409939765930176,882089,0.0,0.0
2008-10-28 00:00:00-04:00,15.523153230522295,16.953309630233306,15.523153230522295,16.714950561523438,1441559,0.0,0.0
2008-10-29 00:00:00-04:00,16.83413020511667,16.83413020511667,16.1548052649239,16.643442153930664,1292227,0.0,0.0
2008-10-30 00:00:00-04:00,16.685156728707106,17.340646235430768,16.667280591344152,17.01885986328125,836538,0.0,0.0
2008-10-31 00:00:00-04:00,17.042702264148502,17.281061430612414,16.577900697072305,16.911603927612305,1271069,0.0,0.0
2008-11-03 00:00:00-05:00,17.370445124310077,17.775656899770297,16.834136999766272,16.911603927612305,919247,0.0,0.0
2008-11-04 00:00:00-05:00,17.43002637735823,18.35962905611972,17.43002637735823,17.85311508178711,1836483,0.0,0.0
2008-11-05 00:00:00-05:00,17.608800792883184,18.19874020892895,16.846050419243234,17.07845115661621,1168687,0.0,0.0
2008-11-06 00:00:00-05:00,17.507493116164024,17.507493116164024,16.458712909056572,16.804332733154297,1135114,0.0,0.0
2008-11-07 00:00:00-05:00,17.10229016589752,17.10229016589752,16.476596429344937,16.68515968322754,802964,0.0,0.0
2008-11-10 00:00:00-05:00,16.69110868614915,17.06652427492876,16.35144634780418,16.542133331298828,703730,0.0,0.0
2008-11-11 00:00:00-05:00,16.387210618070956,16.387210618070956,15.552952641036912,15.850902557373047,1074349,0.0,0.0
2008-11-12 00:00:00-05:00,15.850895146581376,16.53617734819329,15.707879134357368,16.30377769470215,1166326,0.0,0.0
2008-11-13 00:00:00-05:00,16.6017292141023,18.049762725830078,16.50638618396543,18.049762725830078,1322478,0.0,0.0
2008-11-14 00:00:00-05:00,17.76374353220369,18.06765295280342,17.388327532456483,17.501548767089844,983946,0.0,0.0
2008-11-17 00:00:00-05:00,16.983105452763592,17.57304679864283,16.983105452763592,17.388317108154297,1256293,0.0,0.0
2008-11-18 00:00:00-05:00,17.28701579421566,18.019970259421665,17.15591748816051,17.358524322509766,2901128,0.0,0.0
2008-11-19 00:00:00-05:00,17.133607573293844,17.614721180715488,16.249564202948466,16.375856399536133,1231200,0.304241,0.0
2008-11-20 00:00:00-05:00,16.538237568854953,16.688585000774633,15.521887324462702,15.612096786499023,1437624,0.0,0.0
2008-11-21 00:00:00-05:00,16.52619225007026,16.53821983114701,14.932509175222751,15.60606575012207,1595087,0.0,0.0
2008-11-24 00:00:00-05:00,15.786482346310907,17.44030531883532,15.786482346310907,17.28995704650879,2410204,0.0,0.0
2008-11-25 00:00:00-05:00,17.44030531883532,17.915403292005582,17.049401415399828,17.28995704650879,2128152,0.0,0.0
2008-11-26 00:00:00-05:00,16.899055869292148,17.66883521648463,16.7667504514149,17.63275146484375,1893401,0.0,0.0
2008-11-27 00:00:00-05:00,17.680865004119248,18.29428280640891,17.50646152984494,17.855268478393555,390291,0.0,0.0
2008-11-28 00:00:00-05:00,18.041703155456972,19.07609367370606,17.777092233927714,19.076093673706055,1086939,0.0,0.0
2008-12-01 00:00:00-05:00,19.064063587614232,19.064063587614232,17.704921454775466,17.722963333129883,2310183,0.0,0.0
2008-12-02 00:00:00-05:00,18.192053565404542,18.426594042181378,17.6267458890834,18.01163673400879,1110721,0.0,0.0
2008-12-03 00:00:00-05:00,17.981562425199275,18.42057682189916,15.936835763371635,18.282257080078125,1794429,0.0,0.0
2008-12-04 00:00:00-05:00,18.39652701344686,19.106167809289413,18.354429950068837,18.697221755981445,1920941,0.0,0.0
2008-12-05 00:00:00-05:00,18.2461768563235,19.557209014892578,18.2461768563235,19.557209014892578,1167638,0.0,0.0
2008-12-08 00:00:00-05:00,20.086425258088035,20.363064717531472,19.424897075220777,19.767688751220703,1971651,0.0,0.0
2008-12-09 00:00:00-05:00,19.545170070622742,20.411171990376115,19.545170070622742,20.026281356811523,1311112,0.0,0.0
2008-12-10 00:00:00-05:00,19.701532268637795,20.116491367950726,19.557199279327612,19.93006134033203,1313735,0.0,0.0
2008-12-11 00:00:00-05:00,19.90600385848624,19.90600385848624,18.522806882467002,19.009933471679688,1104251,0.0,0.0
2008-12-12 00:00:00-05:00,18.991894177268254,19.18433952331543,17.975545828909766,19.18433952331543,6778770,0.0,0.0
2008-12-15 00:00:00-05:00,18.949806109216926,19.37077874803667,18.82351291353325,19.220430374145508,757150,0.0,0.0
2008-12-16 00:00:00-05:00,19.1121746655479,19.83985710144043,19.1121746655479,19.83985710144043,998022,0.0,0.0
2008-12-17 00:00:00-05:00,19.82782718180042,19.82782718180042,19.545174438574033,19.575244903564453,24918,0.0,0.0
2008-12-18 00:00:00-05:00,19.587269270246747,20.44725799560547,19.587269270246747,20.44725799560547,2091257,0.0,0.0
2008-12-19 00:00:00-05:00,20.735931485781258,21.499697817963217,20.483347139114922,21.42753028869629,2474028,0.0,0.0
2008-12-22 00:00:00-05:00,21.006556916570904,21.048653971787736,20.18866496851648,20.477333068847656,1322740,0.0,0.0
2008-12-23 00:00:00-05:00,21.006558280384045,21.463614631256103,20.43523734035198,20.47132110595703,868800,0.0,0.0
2008-12-24 00:00:00-05:00,20.477330498977395,20.747956683714257,20.284885122908175,20.387123107910156,180719,0.0,0.0
2008-12-29 00:00:00-05:00,20.561527262639988,20.74194407391547,20.260832577180853,20.687820434570312,490749,0.0,0.0
