Date,open,high,low,close,volume,dividends,stock splits
1995-01-12 00:00:00-05:00,0.9240094974968359,0.9240094974968359,0.916043898380484,0.9201859831809998,236000,0.0,0.0
1995-01-13 00:00:00-05:00,0.9201852963684315,0.9201852963684315,0.9080776214885514,0.9122197031974792,756000,0.0,0.0
1995-01-16 00:00:00-05:00,0.9160434007644653,0.9160434007644653,0.9122198885256496,0.9160434007644653,220800,0.0,0.0
1995-01-17 00:00:00-05:00,0.9160432146595037,0.9160432146595037,0.9080776214885514,0.9122197031974792,240000,0.0,0.0
1995-01-18 00:00:00-05:00,0.9001124771535475,0.9001124771535475,0.8883233666419982,0.8883233666419983,368800,0.0,0.0
1995-01-19 00:00:00-05:00,0.8883232189185966,0.9001123274696801,0.8762155400147328,0.8803576231002808,678400,0.0,0.0
1995-01-20 00:00:00-05:00,0.8762156311074082,0.8803577146235734,0.8644265213307114,0.8723921179771423,299200,0.0,0.0
1995-01-23 00:00:00-05:00,0.8682502461256671,0.8682502461256671,0.8564611334749845,0.8644267320632935,414400,0.0,0.0
1995-01-24 00:00:00-05:00,0.8602844378145462,0.8723921179771423,0.8602844378145462,0.8723921179771423,324000,0.0,0.0
1995-01-25 00:00:00-05:00,0.8682503700256348,0.8723924551426484,0.8644268554176426,0.8682503700256348,323200,0.0,0.0
1995-01-26 00:00:00-05:00,0.8682500344609771,0.8723921179771423,0.8682500344609771,0.8723921179771423,220000,0.0,0.0
1995-01-27 00:00:00-05:00,0.8723924551426484,0.8723924551426484,0.8682503700256348,0.8682503700256348,316000,0.0,0.0
1995-01-30 00:00:00-05:00,0.8682503700256348,0.8723924551426484,0.8644268554176426,0.8682503700256348,212000,0.0,0.0
1995-01-31 00:00:00-05:00,0.8682500344609771,0.8723921179771423,0.8644265213307114,0.8723921179771423,575200,0.0,0.0
1995-02-01 00:00:00-05:00,0.8723920272819651,0.8803576231002808,0.868249944196417,0.8803576231002808,674400,0.0,0.0
